DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_001.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_001.czi_nucWholeIndex.tiff,20170206_I01_001.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_001.czi_nucWholeIndex.tiff,20170206_I01_001.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_002.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_002.czi_nucWholeIndex.tiff,20170206_I01_002.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_002.czi_nucWholeIndex.tiff,20170206_I01_002.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_003.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_003.czi_nucWholeIndex.tiff,20170206_I01_003.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_003.czi_nucWholeIndex.tiff,20170206_I01_003.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_004.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_004.czi_nucWholeIndex.tiff,20170206_I01_004.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_004.czi_nucWholeIndex.tiff,20170206_I01_004.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_006.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_006.czi_nucWholeIndex.tiff,20170206_I01_006.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_006.czi_nucWholeIndex.tiff,20170206_I01_006.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_007.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_007.czi_nucWholeIndex.tiff,20170206_I01_007.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_007.czi_nucWholeIndex.tiff,20170206_I01_007.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_008.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_008.czi_nucWholeIndex.tiff,20170206_I01_008.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_008.czi_nucWholeIndex.tiff,20170206_I01_008.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_009.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_009.czi_nucWholeIndex.tiff,20170206_I01_009.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_009.czi_nucWholeIndex.tiff,20170206_I01_009.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_010.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_010.czi_nucWholeIndex.tiff,20170206_I01_010.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_010.czi_nucWholeIndex.tiff,20170206_I01_010.czi_cellWholeIndex.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170206,20170206_I01_011.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170206_I01\nuc_cell_segmentation,20170206_I01_011.czi_nucWholeIndex.tiff,20170206_I01_011.czi_cellWholeIndex.tiff,0.065,0.29,20170206_I01_011.czi_nucWholeIndex.tiff,20170206_I01_011.czi_cellWholeIndex.tiff,N/A ,N/A 
