DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_029.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_029.czi_nucWholeIndex.tiff,20160711_C01_029.czi_cellWholeIndex.tiff,03;04;05;,0.065,0.29,20160711_C01_029.czi_nucWholeIndex.tiff,20160711_C01_029.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_029.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_030.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_030.czi_nucWholeIndex.tiff,20160711_C01_030.czi_cellWholeIndex.tiff,01;04;,0.065,0.29,20160711_C01_030.czi_nucWholeIndex.tiff,20160711_C01_030.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_030.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_032.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_032.czi_nucWholeIndex.tiff,20160711_C01_032.czi_cellWholeIndex.tiff,05;06;10;,0.065,0.29,20160711_C01_032.czi_nucWholeIndex.tiff,20160711_C01_032.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_032.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_033.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_033.czi_nucWholeIndex.tiff,20160711_C01_033.czi_cellWholeIndex.tiff,01;03;05;,0.065,0.29,20160711_C01_033.czi_nucWholeIndex.tiff,20160711_C01_033.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_033.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_034.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_034.czi_nucWholeIndex.tiff,20160711_C01_034.czi_cellWholeIndex.tiff,02;,0.065,0.29,20160711_C01_034.czi_nucWholeIndex.tiff,20160711_C01_034.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_034.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_035.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_035.czi_nucWholeIndex.tiff,20160711_C01_035.czi_cellWholeIndex.tiff,01;03;04;05;06;07;08;,0.065,0.29,20160711_C01_035.czi_nucWholeIndex.tiff,20160711_C01_035.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_035.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_036.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_036.czi_nucWholeIndex.tiff,20160711_C01_036.czi_cellWholeIndex.tiff,01;04;,0.065,0.29,20160711_C01_036.czi_nucWholeIndex.tiff,20160711_C01_036.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_036.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_037.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_037.czi_nucWholeIndex.tiff,20160711_C01_037.czi_cellWholeIndex.tiff,05;09;11;15;,0.065,0.29,20160711_C01_037.czi_nucWholeIndex.tiff,20160711_C01_037.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_037.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_038.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_038.czi_nucWholeIndex.tiff,20160711_C01_038.czi_cellWholeIndex.tiff,02;06;,0.065,0.29,20160711_C01_038.czi_nucWholeIndex.tiff,20160711_C01_038.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_038.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_039.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_039.czi_nucWholeIndex.tiff,20160711_C01_039.czi_cellWholeIndex.tiff,07;08;09;,0.065,0.29,20160711_C01_039.czi_nucWholeIndex.tiff,20160711_C01_039.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_039.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_040.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_040.czi_nucWholeIndex.tiff,20160711_C01_040.czi_cellWholeIndex.tiff,06;,0.065,0.29,20160711_C01_040.czi_nucWholeIndex.tiff,20160711_C01_040.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_040.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_041.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_041.czi_nucWholeIndex.tiff,20160711_C01_041.czi_cellWholeIndex.tiff,02;03;,0.065,0.29,20160711_C01_041.czi_nucWholeIndex.tiff,20160711_C01_041.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_041.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_042.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_042.czi_nucWholeIndex.tiff,20160711_C01_042.czi_cellWholeIndex.tiff,03;09;,0.065,0.29,20160711_C01_042.czi_nucWholeIndex.tiff,20160711_C01_042.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_042.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_043.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_043.czi_nucWholeIndex.tiff,20160711_C01_043.czi_cellWholeIndex.tiff,03;04;06;,0.065,0.29,20160711_C01_043.czi_nucWholeIndex.tiff,20160711_C01_043.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_043.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_044.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_044.czi_nucWholeIndex.tiff,20160711_C01_044.czi_cellWholeIndex.tiff,01;02;,0.065,0.29,20160711_C01_044.czi_nucWholeIndex.tiff,20160711_C01_044.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_044.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_046.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_046.czi_nucWholeIndex.tiff,20160711_C01_046.czi_cellWholeIndex.tiff,01;05;,0.065,0.29,20160711_C01_046.czi_nucWholeIndex.tiff,20160711_C01_046.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_046.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_047.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_047.czi_nucWholeIndex.tiff,20160711_C01_047.czi_cellWholeIndex.tiff,02;03;05;,0.065,0.29,20160711_C01_047.czi_nucWholeIndex.tiff,20160711_C01_047.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_047.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_048.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_048.czi_nucWholeIndex.tiff,20160711_C01_048.czi_cellWholeIndex.tiff,01;03;04;05;06;,0.065,0.29,20160711_C01_048.czi_nucWholeIndex.tiff,20160711_C01_048.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_048.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_049.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_049.czi_nucWholeIndex.tiff,20160711_C01_049.czi_cellWholeIndex.tiff,01;,0.065,0.29,20160711_C01_049.czi_nucWholeIndex.tiff,20160711_C01_049.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_049.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_050.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_050.czi_nucWholeIndex.tiff,20160711_C01_050.czi_cellWholeIndex.tiff,05;07;,0.065,0.29,20160711_C01_050.czi_nucWholeIndex.tiff,20160711_C01_050.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_050.czi_structSegmentation.tiff
