Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
1,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P03.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P03.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P03.czi_cellWholeIndexImageScale.tiff,01;,0.065,0.29,3500000490_100X_20170127_E05_P03.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P03.czi_cellWholeIndexSegScale.tiff,,
2,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P04.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P04.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P04.czi_cellWholeIndexImageScale.tiff,01;02;03;,0.065,0.29,3500000490_100X_20170127_E05_P04.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P04.czi_cellWholeIndexSegScale.tiff,,
3,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P05.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P05.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P05.czi_cellWholeIndexImageScale.tiff,01;02;,0.065,0.29,3500000490_100X_20170127_E05_P05.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P05.czi_cellWholeIndexSegScale.tiff,,
4,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P06.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P06.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P06.czi_cellWholeIndexImageScale.tiff,01;02;,0.065,0.29,3500000490_100X_20170127_E05_P06.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P06.czi_cellWholeIndexSegScale.tiff,,
5,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P07.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P07.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P07.czi_cellWholeIndexImageScale.tiff,02;03;,0.065,0.29,3500000490_100X_20170127_E05_P07.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P07.czi_cellWholeIndexSegScale.tiff,,
6,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P10.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P10.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P10.czi_cellWholeIndexImageScale.tiff,01;,0.065,0.29,3500000490_100X_20170127_E06_P10.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P10.czi_cellWholeIndexSegScale.tiff,,
7,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P12.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P12.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P12.czi_cellWholeIndexImageScale.tiff,02;03;04;,0.065,0.29,3500000490_100X_20170127_E06_P12.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P12.czi_cellWholeIndexSegScale.tiff,,
8,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P13.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P13.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P13.czi_cellWholeIndexImageScale.tiff,03;04;,0.065,0.29,3500000490_100X_20170127_E06_P13.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P13.czi_cellWholeIndexSegScale.tiff,,
9,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P14.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P14.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P14.czi_cellWholeIndexImageScale.tiff,02;,0.065,0.29,3500000490_100X_20170127_E06_P14.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P14.czi_cellWholeIndexSegScale.tiff,,
10,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P15.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P15.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P15.czi_cellWholeIndexImageScale.tiff,02;04;,0.065,0.29,3500000490_100X_20170127_E06_P15.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P15.czi_cellWholeIndexSegScale.tiff,,
11,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P16.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P16.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P16.czi_cellWholeIndexImageScale.tiff,02;04;,0.065,0.29,3500000490_100X_20170127_E06_P16.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P16.czi_cellWholeIndexSegScale.tiff,,
12,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P17.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P17.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P17.czi_cellWholeIndexImageScale.tiff,01;02;,0.065,0.29,3500000490_100X_20170127_E06_P17.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P17.czi_cellWholeIndexSegScale.tiff,,
13,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P18.czi,0.108,0.29,1,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P18.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P18.czi_cellWholeIndexImageScale.tiff,01;,0.065,0.29,3500000490_100X_20170127_E06_P18.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P18.czi_cellWholeIndexSegScale.tiff,,
