Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
11,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P13.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P13.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P13.czi_cellWholeIndexImageScale.tiff,01;02;03;,0.065,0.29,3500000489_100X_20170127_E06_P13.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P13.czi_cellWholeIndexSegScale.tiff,,
12,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P14.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P14.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P14.czi_cellWholeIndexImageScale.tiff,01;03;04;06;,0.065,0.29,3500000489_100X_20170127_E06_P14.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P14.czi_cellWholeIndexSegScale.tiff,,
13,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P15.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P15.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P15.czi_cellWholeIndexImageScale.tiff,02;03;,0.065,0.29,3500000489_100X_20170127_E06_P15.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P15.czi_cellWholeIndexSegScale.tiff,,
14,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P16.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P16.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P16.czi_cellWholeIndexImageScale.tiff,01;04;,0.065,0.29,3500000489_100X_20170127_E06_P16.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P16.czi_cellWholeIndexSegScale.tiff,,
15,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P17.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P17.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P17.czi_cellWholeIndexImageScale.tiff,01;02;03;,0.065,0.29,3500000489_100X_20170127_E06_P17.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P17.czi_cellWholeIndexSegScale.tiff,,
16,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P18.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P18.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P18.czi_cellWholeIndexImageScale.tiff,01;,0.065,0.29,3500000489_100X_20170127_E06_P18.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P18.czi_cellWholeIndexSegScale.tiff,,
17,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P19.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P19.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P19.czi_cellWholeIndexImageScale.tiff,01;,0.065,0.29,3500000489_100X_20170127_E06_P19.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P19.czi_cellWholeIndexSegScale.tiff,,
18,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P20.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P20.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P20.czi_cellWholeIndexImageScale.tiff,01;03;04;,0.065,0.29,3500000489_100X_20170127_E06_P20.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P20.czi_cellWholeIndexSegScale.tiff,,
19,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E06_P21.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E06_P21.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E06_P21.czi_cellWholeIndexImageScale.tiff,02;,0.065,0.29,3500000489_100X_20170127_E06_P21.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E06_P21.czi_cellWholeIndexSegScale.tiff,,
20,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P22.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P22.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P22.czi_cellWholeIndexImageScale.tiff,01;03;,0.065,0.29,3500000489_100X_20170127_E07_P22.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P22.czi_cellWholeIndexSegScale.tiff,,
