DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename,Unnamed: 21,Unnamed: 22
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_019.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_019.czi_nucWholeIndex.tiff,20160705_I01_019.czi_cellWholeIndex.tiff,20160705_I01_019.czi_nucWholeIndex.tiff,20160705_I01_019.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_019.czi_nucWholeIndex.tiff,20160705_I01_019.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_019.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_020.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_020.czi_nucWholeIndex.tiff,20160705_I01_020.czi_cellWholeIndex.tiff,20160705_I01_020.czi_nucWholeIndex.tiff,20160705_I01_020.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_020.czi_nucWholeIndex.tiff,20160705_I01_020.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_020.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_021.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_021.czi_nucWholeIndex.tiff,20160705_I01_021.czi_cellWholeIndex.tiff,20160705_I01_021.czi_nucWholeIndex.tiff,20160705_I01_021.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_021.czi_nucWholeIndex.tiff,20160705_I01_021.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_021.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_022.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_022.czi_nucWholeIndex.tiff,20160705_I01_022.czi_cellWholeIndex.tiff,20160705_I01_022.czi_nucWholeIndex.tiff,20160705_I01_022.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_022.czi_nucWholeIndex.tiff,20160705_I01_022.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_022.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_023.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_023.czi_nucWholeIndex.tiff,20160705_I01_023.czi_cellWholeIndex.tiff,20160705_I01_023.czi_nucWholeIndex.tiff,20160705_I01_023.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_023.czi_nucWholeIndex.tiff,20160705_I01_023.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_023.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_024.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_024.czi_nucWholeIndex.tiff,20160705_I01_024.czi_cellWholeIndex.tiff,20160705_I01_024.czi_nucWholeIndex.tiff,20160705_I01_024.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_024.czi_nucWholeIndex.tiff,20160705_I01_024.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_024.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_025.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_025.czi_nucWholeIndex.tiff,20160705_I01_025.czi_cellWholeIndex.tiff,20160705_I01_025.czi_nucWholeIndex.tiff,20160705_I01_025.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_025.czi_nucWholeIndex.tiff,20160705_I01_025.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_025.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_026.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_026.czi_nucWholeIndex.tiff,20160705_I01_026.czi_cellWholeIndex.tiff,20160705_I01_026.czi_nucWholeIndex.tiff,20160705_I01_026.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_026.czi_nucWholeIndex.tiff,20160705_I01_026.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_026.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_027.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_027.czi_nucWholeIndex.tiff,20160705_I01_027.czi_cellWholeIndex.tiff,20160705_I01_027.czi_nucWholeIndex.tiff,20160705_I01_027.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_027.czi_nucWholeIndex.tiff,20160705_I01_027.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_027.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_028.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_028.czi_nucWholeIndex.tiff,20160705_I01_028.czi_cellWholeIndex.tiff,20160705_I01_028.czi_nucWholeIndex.tiff,20160705_I01_028.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_028.czi_nucWholeIndex.tiff,20160705_I01_028.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_028.czi_structSegmentation.tiff
