Index,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename
1,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_001.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_001.czi_nucWholeIndex.tiff,20160705_I01_001.czi_cellWholeIndex.tiff
2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_003.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_003.czi_nucWholeIndex.tiff,20160705_I01_003.czi_cellWholeIndex.tiff
3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_004.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_004.czi_nucWholeIndex.tiff,20160705_I01_004.czi_cellWholeIndex.tiff
4,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_006.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_006.czi_nucWholeIndex.tiff,20160705_I01_006.czi_cellWholeIndex.tiff
5,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_007.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_007.czi_nucWholeIndex.tiff,20160705_I01_007.czi_cellWholeIndex.tiff
6,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_008.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_008.czi_nucWholeIndex.tiff,20160705_I01_008.czi_cellWholeIndex.tiff
7,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_009.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_009.czi_nucWholeIndex.tiff,20160705_I01_009.czi_cellWholeIndex.tiff
8,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_010.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_010.czi_nucWholeIndex.tiff,20160705_I01_010.czi_cellWholeIndex.tiff
9,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_011.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_011.czi_nucWholeIndex.tiff,20160705_I01_011.czi_cellWholeIndex.tiff
10,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_012.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_012.czi_nucWholeIndex.tiff,20160705_I01_012.czi_cellWholeIndex.tiff
11,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_013.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_013.czi_nucWholeIndex.tiff,20160705_I01_013.czi_cellWholeIndex.tiff
12,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_014.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_014.czi_nucWholeIndex.tiff,20160705_I01_014.czi_cellWholeIndex.tiff
13,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_015.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_015.czi_nucWholeIndex.tiff,20160705_I01_015.czi_cellWholeIndex.tiff
14,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_016.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_016.czi_nucWholeIndex.tiff,20160705_I01_016.czi_cellWholeIndex.tiff
15,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_017.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_017.czi_nucWholeIndex.tiff,20160705_I01_017.czi_cellWholeIndex.tiff
16,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_018.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_018.czi_nucWholeIndex.tiff,20160705_I01_018.czi_cellWholeIndex.tiff
17,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_019.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_019.czi_nucWholeIndex.tiff,20160705_I01_019.czi_cellWholeIndex.tiff
18,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_020.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_I01_Mito,20160705_I01_020.czi_nucWholeIndex.tiff,20160705_I01_020.czi_cellWholeIndex.tiff
