Index,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename
1,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_002.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_002.czi_nucWholeIndex.tiff,20160719_S01_002.czi_cellWholeIndex.tiff
2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_003.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_003.czi_nucWholeIndex.tiff,20160719_S01_003.czi_cellWholeIndex.tiff
3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_004.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_004.czi_nucWholeIndex.tiff,20160719_S01_004.czi_cellWholeIndex.tiff
4,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_006.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_006.czi_nucWholeIndex.tiff,20160719_S01_006.czi_cellWholeIndex.tiff
5,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_007.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_007.czi_nucWholeIndex.tiff,20160719_S01_007.czi_cellWholeIndex.tiff
6,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_008.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_008.czi_nucWholeIndex.tiff,20160719_S01_008.czi_cellWholeIndex.tiff
7,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_010.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_010.czi_nucWholeIndex.tiff,20160719_S01_010.czi_cellWholeIndex.tiff
8,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_011.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_011.czi_nucWholeIndex.tiff,20160719_S01_011.czi_cellWholeIndex.tiff
9,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_012.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_012.czi_nucWholeIndex.tiff,20160719_S01_012.czi_cellWholeIndex.tiff
10,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_013.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_013.czi_nucWholeIndex.tiff,20160719_S01_013.czi_cellWholeIndex.tiff
11,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_014.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_014.czi_nucWholeIndex.tiff,20160719_S01_014.czi_cellWholeIndex.tiff
12,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160719,20160719_S01_015.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_09_06_Nuc_Cell_Seg_4th_cell_line\20160719_S01_LMNB,20160719_S01_015.czi_nucWholeIndex.tiff,20160719_S01_015.czi_cellWholeIndex.tiff
