Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
1,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E05_P06.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E05_P06.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E05_P06.czi_cellWholeIndexImageScale.tiff,1;2;4;,0.065,0.29,3500000500_100X_20170130_E05_P06.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E05_P06.czi_cellWholeIndexSegScale.tiff,,
2,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E05_P08.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E05_P08.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E05_P08.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000500_100X_20170130_E05_P08.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E05_P08.czi_cellWholeIndexSegScale.tiff,,
3,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E05_P09.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E05_P09.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E05_P09.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000500_100X_20170130_E05_P09.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E05_P09.czi_cellWholeIndexSegScale.tiff,,
4,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E06_P10.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E06_P10.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E06_P10.czi_cellWholeIndexImageScale.tiff,1;2;,0.065,0.29,3500000500_100X_20170130_E06_P10.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E06_P10.czi_cellWholeIndexSegScale.tiff,,
5,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E06_P11.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E06_P11.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E06_P11.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000500_100X_20170130_E06_P11.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E06_P11.czi_cellWholeIndexSegScale.tiff,,
6,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E06_P12.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E06_P12.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E06_P12.czi_cellWholeIndexImageScale.tiff,4;,0.065,0.29,3500000500_100X_20170130_E06_P12.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E06_P12.czi_cellWholeIndexSegScale.tiff,,
7,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E07_P18.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E07_P18.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E07_P18.czi_cellWholeIndexImageScale.tiff,3;5;,0.065,0.29,3500000500_100X_20170130_E07_P18.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E07_P18.czi_cellWholeIndexSegScale.tiff,,
8,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E07_P19.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E07_P19.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E07_P19.czi_cellWholeIndexImageScale.tiff,2;4;,0.065,0.29,3500000500_100X_20170130_E07_P19.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E07_P19.czi_cellWholeIndexSegScale.tiff,,
9,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E08_P20.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E08_P20.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E08_P20.czi_cellWholeIndexImageScale.tiff,1;4;,0.065,0.29,3500000500_100X_20170130_E08_P20.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E08_P20.czi_cellWholeIndexSegScale.tiff,,
10,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E08_P22.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E08_P22.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E08_P22.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000500_100X_20170130_E08_P22.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E08_P22.czi_cellWholeIndexSegScale.tiff,,
11,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_E08_P23.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_E08_P23.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_E08_P23.czi_cellWholeIndexImageScale.tiff,3;4;,0.065,0.29,3500000500_100X_20170130_E08_P23.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_E08_P23.czi_cellWholeIndexSegScale.tiff,,
12,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F05_P36.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F05_P36.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F05_P36.czi_cellWholeIndexImageScale.tiff,1;3;,0.065,0.29,3500000500_100X_20170130_F05_P36.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F05_P36.czi_cellWholeIndexSegScale.tiff,,
13,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F05_P37.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F05_P37.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F05_P37.czi_cellWholeIndexImageScale.tiff,3;,0.065,0.29,3500000500_100X_20170130_F05_P37.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F05_P37.czi_cellWholeIndexSegScale.tiff,,
14,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F05_P38.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F05_P38.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F05_P38.czi_cellWholeIndexImageScale.tiff,3;,0.065,0.29,3500000500_100X_20170130_F05_P38.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F05_P38.czi_cellWholeIndexSegScale.tiff,,
15,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F05_P39.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F05_P39.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F05_P39.czi_cellWholeIndexImageScale.tiff,2;3;,0.065,0.29,3500000500_100X_20170130_F05_P39.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F05_P39.czi_cellWholeIndexSegScale.tiff,,
16,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F05_P41.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F05_P41.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F05_P41.czi_cellWholeIndexImageScale.tiff,4;,0.065,0.29,3500000500_100X_20170130_F05_P41.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F05_P41.czi_cellWholeIndexSegScale.tiff,,
17,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F05_P43.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F05_P43.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F05_P43.czi_cellWholeIndexImageScale.tiff,4;,0.065,0.29,3500000500_100X_20170130_F05_P43.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F05_P43.czi_cellWholeIndexSegScale.tiff,,
18,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000500\ZSD3\100X_zstack,3500000500_100X_20170130_F06_P29.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000500\nuc_cell_segmentation,3500000500_100X_20170130_F06_P29.czi_nucWholeIndexImageScale.tiff,3500000500_100X_20170130_F06_P29.czi_cellWholeIndexImageScale.tiff,3;5;6;,0.065,0.29,3500000500_100X_20170130_F06_P29.czi_nucWholeIndexSegScale.tiff,3500000500_100X_20170130_F06_P29.czi_cellWholeIndexSegScale.tiff,,
