Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename,structureSegContourFilename,structureSegSegScaleOutputFilename,structureSegSegScaleContourFilename,StructureSegmentationMethod,outputSegmentationContourPath,outputNucSegContourFilename,outputCellSegContourFilename,outputNucSegContourSegScaleFilename,outputCellSegContourSegScaleFilename
1,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P03.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P03.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P03.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000558_100X_20170207_D02_P03.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P03.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P03_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P03_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P03_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P03_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P03.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P03.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P03.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P03.czi_cellSegScaleContourXY.tiff
2,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P04.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P04.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P04.czi_cellWholeIndexImageScale.tiff,2;,0.065,0.29,3500000558_100X_20170207_D02_P04.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P04.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P04_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P04_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P04_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P04_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P04.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P04.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P04.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P04.czi_cellSegScaleContourXY.tiff
3,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P05.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P05.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P05.czi_cellWholeIndexImageScale.tiff,3;,0.065,0.29,3500000558_100X_20170207_D02_P05.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P05.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P05_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P05_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P05_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P05_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P05.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P05.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P05.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P05.czi_cellSegScaleContourXY.tiff
4,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P07.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P07.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P07.czi_cellWholeIndexImageScale.tiff,2;,0.065,0.29,3500000558_100X_20170207_D02_P07.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P07.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P07_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P07_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P07_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P07_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P07.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P07.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P07.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P07.czi_cellSegScaleContourXY.tiff
5,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P08.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P08.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P08.czi_cellWholeIndexImageScale.tiff,2;3;,0.065,0.29,3500000558_100X_20170207_D02_P08.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P08.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P08_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P08_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P08_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P08_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P08.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P08.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P08.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P08.czi_cellSegScaleContourXY.tiff
6,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P09.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P09.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P09.czi_cellWholeIndexImageScale.tiff,1;2;3;5;,0.065,0.29,3500000558_100X_20170207_D02_P09.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P09.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P09_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P09_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P09_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P09_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P09.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P09.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P09.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P09.czi_cellSegScaleContourXY.tiff
7,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P12.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P12.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P12.czi_cellWholeIndexImageScale.tiff,1;2;4;,0.065,0.29,3500000558_100X_20170207_D02_P12.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P12.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P12_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P12_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P12_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P12_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P12.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P12.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P12.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P12.czi_cellSegScaleContourXY.tiff
8,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P13.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P13.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P13.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000558_100X_20170207_D02_P13.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P13.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P13_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P13_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P13_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P13_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P13.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P13.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P13.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P13.czi_cellSegScaleContourXY.tiff
9,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P15.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P15.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P15.czi_cellWholeIndexImageScale.tiff,1;2;,0.065,0.29,3500000558_100X_20170207_D02_P15.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P15.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P15_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P15_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P15_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P15_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P15.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P15.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P15.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P15.czi_cellSegScaleContourXY.tiff
10,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000558\ZSD2\100X_zstack,3500000558_100X_20170207_D02_P17.czi,0.108,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\3500000558\nuc_cell_segmentation,3500000558_100X_20170207_D02_P17.czi_nucWholeIndexImageScale.tiff,3500000558_100X_20170207_D02_P17.czi_cellWholeIndexImageScale.tiff,2;4;,0.065,0.29,3500000558_100X_20170207_D02_P17.czi_nucWholeIndexSegScale.tiff,3500000558_100X_20170207_D02_P17.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\structure_segmentation,3500000558_100X_20170207_D02_P17_structImageScaleSegment.tiff,3500000558_100X_20170207_D02_P17_structImageScaleContour.tiff,3500000558_100X_20170207_D02_P17_structSegScaleSegment.tiff,3500000558_100X_20170207_D02_P17_structSegScaleContour.tiff,ALN3.0+MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000558\nuc_cell_contour,3500000558_100X_20170207_D02_P17.czi_nucImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P17.czi_cellImageScaleContourXY.tiff,3500000558_100X_20170207_D02_P17.czi_nucSegScaleContourXY.tiff,3500000558_100X_20170207_D02_P17.czi_cellSegScaleContourXY.tiff
